Easy
[What is the result of 96 + 26?, 150, 60], [122, 10, 1], [120, -10, 0], [112, -10, 0], [130, -10, 0]
[What is the result of -67 + 75?, 150, 60], [8, 10, 1], [142, -10, 0], [-8, -10, 0], [-142, -10, 0]
[What is the result of 17 + (-27)?, 150, 60], [-10, 10, 1], [10, -10, 0], [44, -10, 0], [-44, -10, 0]
[What is the result of 41 + (-49)?, 150, 60], [-8, 10, 1], [90, -10, 0], [8, -10, 0], [-90, -10, 0]
[What is the result of -39 + 1?, 150, 60], [-38, 10, 1], [38, -10, 0], [37, -10, 0], [-36, -10, 0]
[What is the result of 53 + 24?, 150, 60], [77, 10, 1], [67, -10, 0], [-77, -10, 0], [-67, -10, 0]
[What is the result of -26 + 5?, 150, 60], [-31, -10, 1], [31, -10, 0], [-21, 10, 0], [21, -10, 0]
[What is the result of -33 + (-29)?, 150, 60], [-62, 10, 1], [-2, -10, 0], [2, -10, 0], [-29, -10, 0]
[What is the result of -22 + (-79)?, 150, 60], [-101, 10, 1], [-57, -10, 0], [101, -10, 0], [-22, -10, 0]
[What is the result of -17 + (-37)?, 150, 60], [-54, 10, 1], [-44, -10, 0], [54, -10, 0], [44, -10, 0]
[What is the result of -12 + 68?, 150, 60], [56, 10, 1], [-12, -10, 0], [80, -10, 0], [-56, -10, 0]
[What is the result of -36 + 96?, 150, 60], [60, 10, 1], [-60, -10, 0], [-132, -10, 0], [36, -10, 0]
[What is the result of 92 + 11?, 150, 60], [103, 10, 1], [101, -10, 0], [81, -10, 0], [93, -10, 0]
[What is the result of 16 + (-8)?, 150, 60], [8, 10, 1], [-8, -10, 0], [24, -10, 0], [-24, -10, 0]
[What is the result of 19 + 38?, 150, 60], [57, 10, 1], [19, -10, 0], [38, -10, 0], [81, -10, 0]
[What is the result of 38 + 11?, 150, 60], [49, 10, 1], [47, -10, 0], [27, -10, 0], [28, -10, 0]
[What is the result of -30 + (-20)?, 150, 60], [-50, 10, 1], [-60, -10, 0], [-10, -10, 0], [60, -10, 0]
[What is the result of -5 + 47?, 150, 60], [42, 10, 1], [-42, -10, 0], [52, -10, 0], [-52, -10, 0]
[What is the result of 98 + 98?, 150, 60], [196, 10, 1], [100, -10, 0], [98, -10, 0], [-196, -10, 0]
[What is the result of 41 + 43?, 150, 60], [84, 10, 1], [83, -10, 0], [82, -10, 0], [41, -10, 0]
[What is the result of -31 + (-85)?, 150, 60], [-116, 10, 1], [116, -10, 0], [-31, -10, 0], [-54, -10, 0]
[What is the result of 23 + (-26)?, 150, 60], [-3, 10, 1], [3, -10, 0], [-26, -10, 0], [-49, -10, 0]
[What is the result of -22 + (-40)?, 150, 60], [-62, 10, 1], [62, -10, 0], [-22, -10, 0], [-18, -10, 0]
[What is the result of 10 + (-15)?, 150, 60], [-5, 10, 1], [5, -10, 0], [-150, -10, 0], [25, -10, 0]
[What is the distance between -67 + | -35 |, 150, 60], [-32, 10, 1], [-102, -10, 0], [102, -10, 0], [32, -10, 0]
[What is the result of 20 + 1?, 150, 60], [21, 10, 1], [20, -10, 0], [19, -10, 0], [201, -10, 0]
[What is the result of 21 + (-11)?, 150, 60], [10, 10, 1], [32, -10, 0], [-32, -10, 0], [-10, -10, 0]
[What is the result of -15 + 40?, 150, 60], [25, 10, 1], [55, -10, 0], [-25, -10, 0], [-55, -10, 0]
[What is the result of -10 + (-6)?, 150, 60], [-16, 10, 1], [16, -10, 0], [4, -10, 0], [-4, -10, 0]
[What is the result of 59 + (-97)?, 150, 60], [-38, 10, 1], [38, -10, 0], [-59, -10, 0], [-156, -10, 0]
[What is the Result of  -5 + 6?, 150, 60], [-1, -10, 1], [1, 10, 0], [-11, -10, 0], [11, -10, 0]
[What is the distance between |−67| + |−35|?, 150, 60], [102, 10, 1], [-102, -10, 0], [-32, -10, 0], [32, -10, 0]
[What is the result of -28 + (-5)?, 150, 60], [-33, 10, 1], [33, -10, 0], [-23, -10, 0], [28, -10, 0]
[What is the distance between -16 + | -4 |, 150, 60], [-12, 10, 1], [-2, -10, 0], [20, -10, 0], [12, -10, 0]
[What is the result of 8 + | -8 |, 150, 60], [16, 10, 1], [0, -10, 0], [-8, -10, 0], [8, -10, 0]
[If Set A = {2; 4; 6; 8; 10; 12} and set B = {3; 6; 9; 12; 15}. Find the A intersection B (A ∩ B), 150, 60], [{6; 12}, 10, 1], [{2; 3; 4; 6; 8; 9; 10; 12; 15}, -10, 0], [{2; 4; 6; 8; 10; 12}, -10, 0], [{3; 6; 9; 12; 15}, -10, 0]
[If Set A = {2; 4; 6; 8; 10; 12} and set C = {1; 4; 7; 10; 13; 16}. Find the A intersection C (A ∩ C), 150, 60], [{4; 10}, 10, 1], [{1; 2; 4; 6; 7; 8; 10; 12; 13; 16}, -10, 0], [{1; 4; 7; 10; 13; 16}, -10, 0], [{2; 4; 6; 8; 10; 12}, -10, 0]
[If Set B = {3; 6; 9; 12; 15} and Set C = {1; 4; 7; 10; 13; 16}. Find the B intersection C (B ∩ C), 150, 60], [{10}, 10, 1], [{3; 6; 9; 12; 15}, -10, 0], [{1; 3; 4; 6; 7; 9; 10; 12; 13; 15; 16}, -10, 0], [{1; 4; 7; 10; 13; 16}, -10, 0]
[If Set A = {2; 4; 6; 8; 10; 12} and Set C = {1; 4; 7; 10; 13; 16}. Find the A union C (A ∪ C), 150, 60], [ {1; 2; 4; 6; 7; 8; 10; 12; 13; 16}, 10, 1], [{1; 4; 7; 10; 13; 16}, -10, 0], [{10}, -10, 0], [{2; 4; 6; 8; 10; 12}, -10, 0]
[If Set A = {1; 3; 7; 9; 10} B = {2; 5; 7; 8; 9; 10}. Find the A ∪ B, 150, 60], [{1; 2; 3; 5; 7; 8; 9; 10}, 10, 1], [{1; 3; 7; 9; 10}, -10, 0], [{2; 5; 7; 8; 9; 10}, -10, 0], [{7; 9; 10}, -10, 0]
